od,hora_do_dia,n_viagens_validacao_hora,n_viagens_sintetico_hora,validacao_pct,sintetico_pct,validacao_pct_por_od,sintetico_pct_por_od,similaridade_hora_dot
upper west side south-upper west side north,22,219,482,0.010988205992235002,0.011150874337280636,4.584467238852836,4.542027892951376,0.06043783817435932
upper west side south-upper west side north,23,93,276,0.00466622446245596,0.006385147960766504,1.946828553485451,2.600829249905767,0.06043783817435932
jfk airport-times sq/theatre district,0,89,296,0.004465526636113768,0.006847839841981469,1.9239083441418072,2.8187791638891535,0.05978795670253627
jfk airport-times sq/theatre district,1,51,138,0.0025588972858629454,0.003192573980383252,1.1024643320363166,1.3141605561375107,0.05978795670253627
jfk airport-times sq/theatre district,2,15,39,0.0007526168487832193,0.0009022491683691801,0.324254215304799,0.3713932006475574,0.05978795670253627
jfk airport-times sq/theatre district,3,12,29,0.0006020934790265754,0.0006709032277616979,0.25940337224383914,0.2761641748404914,0.05978795670253627
jfk airport-times sq/theatre district,4,5,20,0.0002508722829277398,0.00046269188121496406,0.10808473843493299,0.19045805161413198,0.05978795670253627
jfk airport-times sq/theatre district,5,22,102,0.0011038380448820549,0.002359728594196317,0.4755728491137051,0.9713360632320731,0.05978795670253627
jfk airport-times sq/theatre district,6,84,259,0.004214654353186028,0.0059918598617337854,1.8158236057068744,2.4664317684030093,0.05978795670253627
jfk airport-times sq/theatre district,7,170,380,0.00852965761954315,0.008791145743084318,3.674881106787722,3.6187029806685076,0.05978795670253627
jfk airport-times sq/theatre district,8,136,299,0.006823726095634522,0.006917243624163713,2.939904885430177,2.847347871631273,0.05978795670253627
jfk airport-times sq/theatre district,9,114,210,0.005719888050752467,0.004858264752757123,2.4643320363164722,1.9998095419483857,0.05978795670253627
jfk airport-times sq/theatre district,10,128,272,0.006422330442950138,0.006292609584523512,2.7669693039342844,2.590229501952195,0.05978795670253627
jfk airport-times sq/theatre district,11,173,326,0.008680180989299796,0.007541877663803914,3.7397319498486814,3.104466241310351,0.05978795670253627
jfk airport-times sq/theatre district,12,207,446,0.010386112513208427,0.010318028951093699,4.474708171206226,4.247214550995143,0.05978795670253627
jfk airport-times sq/theatre district,13,264,663,0.013246056538584659,0.015338235862276058,5.706874189364462,6.3136844110084755,0.05978795670253627
jfk airport-times sq/theatre district,14,385,702,0.019317165785435964,0.01624048503064524,8.322524859489839,6.685077611656033,0.05978795670253627
jfk airport-times sq/theatre district,15,437,795,0.021926237527884456,0.018392002278294822,9.446606139213143,7.570707551661747,0.05978795670253627
jfk airport-times sq/theatre district,16,412,957,0.020671876113245755,0.02213980651613603,8.906182447038479,9.113417769736214,0.05978795670253627
jfk airport-times sq/theatre district,17,490,838,0.024585483726918496,0.019386789822906994,10.592304366623432,7.980192362632129,0.05978795670253627
jfk airport-times sq/theatre district,18,308,933,0.01545373262834877,0.021584576258678073,6.658019887591872,8.884868107799257,0.05978795670253627
jfk airport-times sq/theatre district,19,285,763,0.014299720126881165,0.01765169526835088,6.160830090791181,7.265974669079135,0.05978795670253627
jfk airport-times sq/theatre district,20,256,536,0.012844660885900276,0.012400142416561037,5.533938607868569,5.104275783258737,0.05978795670253627
jfk airport-times sq/theatre district,21,218,550,0.010938031535649453,0.012724026733411513,4.712494595763078,5.23759641938863,0.05978795670253627
jfk airport-times sq/theatre district,22,209,486,0.010486461426379521,0.011243412713523627,4.517942066580199,4.6281306542234075,0.05978795670253627
jfk airport-times sq/theatre district,23,156,462,0.007827215227345481,0.010688182456065672,3.372243839169909,4.399580992286449,0.05978795670253627
lenox hill west-upper east side north,0,31,66,0.0015554081541519864,0.0015268832080093816,0.6774475524475524,0.6577636037472593,0.059918545302614465
lenox hill west-upper east side north,1,13,34,0.0006522679356121234,0.000786576198065439,0.2840909090909091,0.33884791708192147,0.059918545302614465
lenox hill west-upper east side north,2,5,16,0.0002508722829277398,0.00037015350497197127,0.10926573426573427,0.15945784333266894,0.059918545302614465
lenox hill west-upper east side north,3,1,21,5.017445658554795e-05,0.00048582647527571225,0.021853146853146852,0.20928841937412795,0.059918545302614465
lenox hill west-upper east side north,4,6,19,0.0003010467395132877,0.0004395572871542159,0.13111888111888112,0.18935618895754436,0.059918545302614465
lenox hill west-upper east side north,5,12,32,0.0006020934790265754,0.0007403070099439425,0.26223776223776224,0.31891568666533787,0.059918545302614465
lenox hill west-upper east side north,6,44,106,0.0022076760897641098,0.00245226697043931,0.9615384615384616,1.0564082120789318,0.059918545302614465
lenox hill west-upper east side north,7,239,345,0.011991695123945961,0.00798143495095813,5.2229020979020975,3.438309746860674,0.059918545302614465
lenox hill west-upper east side north,8,272,543,0.013647452191269043,0.012562084574986275,5.944055944055944,5.411600558102451,0.059918545302614465
lenox hill west-upper east side north,9,248,540,0.012443265233215891,0.012492680792804032,5.419580419580419,5.381702212477577,0.059918545302614465
lenox hill west-upper east side north,10,280,590,0.014048847843953424,0.013649410495841442,6.118881118881119,5.880007972892167,0.059918545302614465
lenox hill west-upper east side north,11,276,625,0.013848150017611234,0.014459121287967627,6.031468531468532,6.22882200518238,0.059918545302614465
lenox hill west-upper east side north,12,301,658,0.015102511432249933,0.01522256289197232,6.577797202797203,6.557703807056009,0.059918545302614465
lenox hill west-upper east side north,13,308,656,0.01545373262834877,0.015176293703850824,6.730769230769231,6.537771576639425,0.059918545302614465
lenox hill west-upper east side north,14,359,712,0.018012629914211715,0.016471830971252724,7.84527972027972,7.095874028303767,0.059918545302614465
lenox hill west-upper east side north,15,331,727,0.01660774512981637,0.016818849882163946,7.233391608391608,7.245365756428145,0.059918545302614465
lenox hill west-upper east side north,16,289,664,0.014500417953223358,0.015361370456336808,6.31555944055944,6.61750049830576,0.059918545302614465
lenox hill west-upper east side north,17,367,718,0.018414025566896097,0.01661063853561721,8.020104895104895,7.155670719553518,0.059918545302614465
lenox hill west-upper east side north,18,335,809,0.016808442956158565,0.0187158865951453,7.320804195804195,8.062587203508073,0.059918545302614465
lenox hill west-upper east side north,19,271,597,0.013597277734683496,0.01381135265426668,5.9222027972027975,5.949770779350209,0.059918545302614465
lenox hill west-upper east side north,20,195,516,0.00978401903418185,0.011937450535346074,4.261363636363636,5.142515447478573,0.059918545302614465
lenox hill west-upper east side north,21,201,454,0.010085065773695138,0.010503105703579685,4.3924825174825175,4.52461630456448,0.059918545302614465
lenox hill west-upper east side north,22,138,400,0.006924075008805617,0.009253837624299282,3.015734265734266,3.9864460833167232,0.059918545302614465
lenox hill west-upper east side north,23,54,186,0.002709420655619589,0.004303034495299166,1.18006993006993,1.8536974287422763,0.059918545302614465
midtown east-upper east side south,0,19,57,0.000953314675125411,0.0013186718614626477,0.4321128041846714,0.5949895615866388,0.06304661605013477
midtown east-upper east side south,1,7,17,0.00035122119609883566,0.0003932880990327195,0.15919945417329998,0.17745302713987474,0.06304661605013477
midtown east-upper east side south,2,4,8,0.0002006978263421918,0.00018507675248598563,0.09097111667045713,0.08350730688935282,0.06304661605013477
midtown east-upper east side south,3,0,5,0.0,0.00011567297030374101,0.0,0.052192066805845504,0.06304661605013477
midtown east-upper east side south,4,0,17,0.0,0.0003932880990327195,0.0,0.17745302713987474,0.06304661605013477
midtown east-upper east side south,5,19,35,0.000953314675125411,0.0008097107921261872,0.4321128041846714,0.36534446764091855,0.06304661605013477
midtown east-upper east side south,6,54,115,0.002709420655619589,0.0026604783169860437,1.2281100750511713,1.2004175365344467,0.06304661605013477
midtown east-upper east side south,7,87,274,0.0043651777229426715,0.006338878772645008,1.9786217875824426,2.8601252609603343,0.06304661605013477
midtown east-upper east side south,8,173,419,0.008680180989299796,0.009693394911453497,3.9345007959972707,4.3736951983298535,0.06304661605013477
midtown east-upper east side south,9,241,400,0.012092044037117056,0.009253837624299282,5.481009779395042,4.175365344467641,0.06304661605013477
midtown east-upper east side south,10,264,505,0.013246056538584659,0.011682970000677844,6.00409370025017,5.271398747390397,0.06304661605013477
midtown east-upper east side south,11,276,616,0.013848150017611234,0.014250909941420893,6.277007050261542,6.430062630480167,0.06304661605013477
midtown east-upper east side south,12,307,586,0.015403558171763221,0.013556872119598447,6.982033204457585,6.116910229645094,0.06304661605013477
midtown east-upper east side south,13,277,603,0.013898324474196781,0.013950160218631168,6.299749829429156,6.294363256784968,0.06304661605013477
midtown east-upper east side south,14,299,693,0.015002162519078837,0.016032273684098507,6.800090971116671,7.233820459290189,0.06304661605013477
midtown east-upper east side south,15,299,703,0.015002162519078837,0.01626361962470599,6.800090971116671,7.338204592901879,0.06304661605013477
midtown east-upper east side south,16,320,804,0.016055826107375347,0.018600213624841558,7.2776893336365704,8.392484342379959,0.06304661605013477
midtown east-upper east side south,17,438,840,0.021976411984470003,0.019433059011028493,9.961337275415055,8.768267223382047,0.06304661605013477
midtown east-upper east side south,18,403,879,0.020220306003975824,0.020335308179397674,9.165340004548556,9.175365344467641,0.06304661605013477
midtown east-upper east side south,19,268,595,0.013446754364926853,0.01376508346614518,6.095064816920628,6.210855949895616,0.06304661605013477
midtown east-upper east side south,20,223,490,0.011188903818577192,0.011335951089766622,5.071639754377985,5.11482254697286,0.06304661605013477
midtown east-upper east side south,21,175,429,0.008780529902470892,0.00992474085206098,3.9799863543324996,4.4780793319415455,0.06304661605013477
midtown east-upper east side south,22,152,315,0.007626517401003288,0.007287397129135685,3.4569024334773713,3.288100208768267,0.06304661605013477
midtown east-upper east side south,23,92,175,0.004616050005870411,0.004048553960630936,2.092335683420514,1.826722338204593,0.06304661605013477
upper east side north-lenox hill west,0,15,36,0.0007526168487832193,0.0008328453861869354,0.343800137520055,0.37978689735204135,0.06502850783438023
upper east side north-lenox hill west,1,8,11,0.0004013956526843836,0.0002544805346682303,0.18336007334402935,0.11604599641312374,0.06502850783438023
upper east side north-lenox hill west,2,1,6,5.017445658554795e-05,0.00013880756436448924,0.022920009168003668,0.06329781622534023,0.06502850783438023
upper east side north-lenox hill west,3,0,9,0.0,0.00020821134654673386,0.0,0.09494672433801034,0.06502850783438023
upper east side north-lenox hill west,4,5,6,0.0002508722829277398,0.00013880756436448924,0.11460004584001833,0.06329781622534023,0.06502850783438023
upper east side north-lenox hill west,5,5,14,0.0002508722829277398,0.00032388431685047487,0.11460004584001833,0.14769490452579387,0.06502850783438023
upper east side north-lenox hill west,6,40,98,0.0020069782634219184,0.0022671902179533243,0.9168003667201466,1.033864331680557,0.06502850783438023
upper east side north-lenox hill west,7,105,294,0.005268317941482535,0.006801570653859973,2.4066009626403853,3.101592995041671,0.06502850783438023
upper east side north-lenox hill west,8,166,411,0.008328959793200958,0.009508318158967513,3.8047215218886086,4.335900411435806,0.06502850783438023
upper east side north-lenox hill west,9,206,420,0.010335938056622878,0.009716529505514247,4.7215218886087555,4.430847135773816,0.06502850783438023
upper east side north-lenox hill west,10,240,473,0.012041869580531508,0.010942662990733902,5.50080220032088,4.989977845764321,0.06502850783438023
upper east side north-lenox hill west,11,240,618,0.012041869580531508,0.01429717912954239,5.50080220032088,6.5196750712100435,0.06502850783438023
upper east side north-lenox hill west,12,242,628,0.012142218493702605,0.014528525070149872,5.546642218656888,6.625171431585611,0.06502850783438023
upper east side north-lenox hill west,13,292,577,0.014650941322980001,0.013348660773051713,6.69264267705707,6.087139993670218,0.06502850783438023
upper east side north-lenox hill west,14,348,620,0.017460710891770686,0.014343448317663886,7.976163190465275,6.540774343285157,0.06502850783438023
upper east side north-lenox hill west,15,383,752,0.019216816872264862,0.01739721473368265,8.778363511345406,7.933326300242642,0.06502850783438023
upper east side north-lenox hill west,16,345,745,0.01731018752201404,0.017235272575257414,7.907403162961265,7.859478847979745,0.06502850783438023
upper east side north-lenox hill west,17,383,820,0.019216816872264862,0.01897036712981353,8.778363511345406,8.650701550796496,0.06502850783438023
upper east side north-lenox hill west,18,399,996,0.020019608177633635,0.02304205568450521,9.145083658033464,10.507437493406476,0.06502850783438023
upper east side north-lenox hill west,19,317,605,0.0159053027376187,0.013996429406752664,7.265642906257162,6.382529802721806,0.06502850783438023
upper east side north-lenox hill west,20,247,502,0.012393090776630344,0.011613566218495599,5.661242264496906,5.295917290853466,0.06502850783438023
upper east side north-lenox hill west,21,202,425,0.010135240230280685,0.009832202475817987,4.6298418519367415,4.483595315961599,0.06502850783438023
upper east side north-lenox hill west,22,126,296,0.006321981529779041,0.006847839841981469,2.887921155168462,3.1226922671167845,0.06502850783438023
upper east side north-lenox hill west,23,48,117,0.0024083739161063016,0.00270674750510754,1.100160440064176,1.2343074163941343,0.06502850783438023
midtown center-midtown center,0,37,61,0.0018564548936652742,0.0014112102377056405,0.8642840457836954,0.6645604096306788,0.06073754522137622
midtown center-midtown center,1,14,13,0.0007024423921976713,0.0003007497227897267,0.3270263957019388,0.14162762828194791,0.06073754522137622
midtown center-midtown center,2,8,9,0.0004013956526843836,0.00020821134654673386,0.18687222611539359,0.09804989650288702,0.06073754522137622
midtown center-midtown center,3,5,6,0.0002508722829277398,0.00013880756436448924,0.116795141322121,0.06536659766859135,0.06073754522137622
midtown center-midtown center,4,15,18,0.0007526168487832193,0.0004164226930934677,0.35038542396636296,0.19609979300577404,0.06073754522137622
midtown center-midtown center,5,21,37,0.001053663588296507,0.0008559799802476836,0.4905395935529082,0.40309401895631336,0.06073754522137622
midtown center-midtown center,6,55,94,0.002759595112205137,0.0021746518417103313,1.284746554543331,1.0240766968079311,0.06073754522137622
midtown center-midtown center,7,102,249,0.005117794571725891,0.005760513921126303,2.3826208829712687,2.712713803246541,0.06073754522137622
midtown center-midtown center,8,180,401,0.009031402185398631,0.009276972218360031,4.204625087596356,4.368667610850855,0.06073754522137622
midtown center-midtown center,9,237,429,0.011891346210774863,0.00992474085206098,5.536089698668535,4.673711733304282,0.06073754522137622
midtown center-midtown center,10,209,464,0.010486461426379521,0.010734451644187166,4.882036907264657,5.055016886371065,0.06073754522137622
midtown center-midtown center,11,239,621,0.011991695123945961,0.014366582911724636,5.582807755197384,6.765442858699204,0.06073754522137622
midtown center-midtown center,12,254,636,0.012744311972729178,0.01471360182263586,5.933193179163747,6.928859352870684,0.06073754522137622
midtown center-midtown center,13,296,668,0.014851639149322193,0.0154539088325798,6.9142723662695635,7.27748120710317,0.06073754522137622
midtown center-midtown center,14,295,726,0.014801464692736646,0.016795715288103197,6.890913338005139,7.909358317899554,0.06073754522137622
midtown center-midtown center,15,280,747,0.014048847843953424,0.01728154176337891,6.540527914038775,8.138141409739623,0.06073754522137622
midtown center-midtown center,16,311,729,0.015604255998105413,0.016865119070285442,7.264657790235926,7.942041616733849,0.06073754522137622
midtown center-midtown center,17,384,786,0.019266991328850413,0.01818379093174809,8.969866853538893,8.563024294585468,0.06073754522137622
midtown center-midtown center,18,344,673,0.017260013065428494,0.015569581802883542,8.035505722961926,7.331953371826996,0.06073754522137622
midtown center-midtown center,19,287,502,0.014400069040052262,0.011613566218495599,6.704041111889746,5.469005338272143,0.06073754522137622
midtown center-midtown center,20,208,421,0.010436286969793974,0.009739664099574994,4.858677879000234,4.5865562697461595,0.06073754522137622
midtown center-midtown center,21,225,377,0.01128925273174829,0.008721741960902073,5.255781359495445,4.10720122017649,0.06073754522137622
midtown center-midtown center,22,158,348,0.007927564140516576,0.008050838733140374,3.6907264657790235,3.7912626647782983,0.06073754522137622
midtown center-midtown center,23,117,164,0.00587041142050911,0.003794073425962706,2.7330063069376314,1.786687002941497,0.06073754522137622
upper east side north-upper west side south,0,18,37,0.000903140218539863,0.0008559799802476836,0.4291845493562232,0.41708939240220944,0.06541523184507535
upper east side north-upper west side south,1,8,16,0.0004013956526843836,0.00037015350497197127,0.19074868860276584,0.18036298049825275,0.06541523184507535
upper east side north-upper west side south,2,4,9,0.0002006978263421918,0.00020821134654673386,0.09537434430138292,0.10145417653026716,0.06541523184507535
upper east side north-upper west side south,3,3,5,0.00015052336975664385,0.00011567297030374101,0.07153075822603719,0.05636343140570398,0.06541523184507535
upper east side north-upper west side south,4,1,6,5.017445658554795e-05,0.00013880756436448924,0.02384358607534573,0.06763611768684477,0.06541523184507535
upper east side north-upper west side south,5,9,11,0.0004515701092699315,0.0002544805346682303,0.2145922746781116,0.12399954909254876,0.06541523184507535
upper east side north-upper west side south,6,32,42,0.0016055826107375345,0.0009716529505514245,0.7629947544110633,0.4734528238079134,0.06541523184507535
upper east side north-upper west side south,7,78,172,0.003913607613672741,0.0039791501784486915,1.859799713876967,1.938902040356217,0.06541523184507535
upper east side north-upper west side south,8,113,310,0.005669713594166919,0.007171724158831943,2.6943252265140676,3.494532747153647,0.06541523184507535
upper east side north-upper west side south,9,167,396,0.008379134249786507,0.009161299248056289,3.9818788745827374,4.463983767331755,0.06541523184507535
upper east side north-upper west side south,10,207,424,0.010386112513208427,0.00980906788175724,4.935622317596566,4.779618983203697,0.06541523184507535
upper east side north-upper west side south,11,207,610,0.010386112513208427,0.014112102377056405,4.935622317596566,6.876338631495886,0.06541523184507535
upper east side north-upper west side south,12,266,619,0.013346405451755753,0.014320313723603139,6.342393896041965,6.977792808026153,0.06541523184507535
upper east side north-upper west side south,13,248,575,0.012443265233215891,0.013302391584930217,5.913209346685742,6.481794611655959,0.06541523184507535
upper east side north-upper west side south,14,305,656,0.015303209258592123,0.015176293703850824,7.272293752980448,7.394882200428363,0.06541523184507535
upper east side north-upper west side south,15,382,727,0.019166642415679315,0.016818849882163946,9.10824988078207,8.195242926389358,0.06541523184507535
upper east side north-upper west side south,16,319,694,0.016005651650789796,0.016055408278159253,7.6061039580352885,7.823244279111713,0.06541523184507535
upper east side north-upper west side south,17,321,806,0.016106000563960894,0.018646482812963053,7.65379113018598,9.085785142599482,0.06541523184507535
upper east side north-upper west side south,18,412,833,0.020671876113245755,0.019271116852603253,9.823557463042441,9.390147672190283,0.06541523184507535
upper east side north-upper west side south,19,317,576,0.0159053027376187,0.013325526178990967,7.558416785884598,6.493067297937098,0.06541523184507535
upper east side north-upper west side south,20,279,504,0.013998673387367877,0.011659835406617094,6.652360515021459,5.681433885694961,0.06541523184507535
upper east side north-upper west side south,21,271,424,0.013597277734683496,0.00980906788175724,6.461611826418694,4.779618983203697,0.06541523184507535
upper east side north-upper west side south,22,164,297,0.008228610880029864,0.006870974436042217,3.9103481163567,3.3479878254988167,0.06541523184507535
upper east side north-upper west side south,23,63,122,0.0031609907648895205,0.002822420475411281,1.502145922746781,1.375267726299177,0.06541523184507535
lincoln square east-upper east side south,0,25,74,0.0012543614146386989,0.0017119599604953671,0.5969436485195797,0.8449417675268326,0.06154264088851606
lincoln square east-upper east side south,1,4,24,0.0002006978263421918,0.000555230257457957,0.09551098376313276,0.2740351678465403,0.06154264088851606
lincoln square east-upper east side south,2,2,5,0.0001003489131710959,0.00011567297030374101,0.04775549188156638,0.057090659968029235,0.06154264088851606
lincoln square east-upper east side south,3,0,8,0.0,0.00018507675248598563,0.0,0.09134505594884677,0.06154264088851606
lincoln square east-upper east side south,4,1,3,5.017445658554795e-05,6.940378218224462e-05,0.02387774594078319,0.03425439598081754,0.06154264088851606
lincoln square east-upper east side south,5,12,7,0.0006020934790265754,0.00016194215842523744,0.28653295128939826,0.07992692395524092,0.06154264088851606
lincoln square east-upper east side south,6,17,49,0.0008529657619543152,0.0011335951089766622,0.4059216809933142,0.5594884676866865,0.06154264088851606
lincoln square east-upper east side south,7,83,216,0.004164479896600479,0.004997072317121613,1.9818529130850047,2.4663165106188627,0.06154264088851606
lincoln square east-upper east side south,8,147,313,0.0073756451180755495,0.007241127941014188,3.510028653295129,3.57387531399863,0.06154264088851606
lincoln square east-upper east side south,9,219,352,0.010988205992235002,0.008143377109383369,5.229226361031518,4.019182461749258,0.06154264088851606
lincoln square east-upper east side south,10,241,437,0.012092044037117056,0.010109817604546965,5.754536771728748,4.9897236812057555,0.06154264088851606
lincoln square east-upper east side south,11,260,503,0.013045358712242466,0.011636700812556347,6.208213944603629,5.74332039278374,0.06154264088851606
lincoln square east-upper east side south,12,270,516,0.013547103278097947,0.011937450535346074,6.446991404011461,5.8917561087006165,0.06154264088851606
lincoln square east-upper east side south,13,275,526,0.013797975561025686,0.012168796475953555,6.566380133715377,6.005937428636675,0.06154264088851606
lincoln square east-upper east side south,14,319,610,0.016005651650789796,0.014112102377056405,7.617000955109837,6.965060516099567,0.06154264088851606
lincoln square east-upper east side south,15,250,574,0.012543614146386987,0.013279256990869468,5.969436485195797,6.554007764329755,0.06154264088851606
lincoln square east-upper east side south,16,225,608,0.01128925273174829,0.01406583318893491,5.3724928366762175,6.9422242521123545,0.06154264088851606
lincoln square east-upper east side south,17,272,590,0.013647452191269043,0.013649410495841442,6.4947468958930274,6.736697876227449,0.06154264088851606
lincoln square east-upper east side south,18,345,649,0.01731018752201404,0.015014351545425585,8.237822349570202,7.410367663850194,0.06154264088851606
lincoln square east-upper east side south,19,211,503,0.010586810339550617,0.011636700812556347,5.038204393505253,5.74332039278374,0.06154264088851606
lincoln square east-upper east side south,20,223,473,0.011188903818577192,0.010942662990733902,5.324737344794651,5.400776432975565,0.06154264088851606
lincoln square east-upper east side south,21,345,645,0.01731018752201404,0.014921813169182594,8.237822349570202,7.36469513587577,0.06154264088851606
lincoln square east-upper east side south,22,364,756,0.018263502197139455,0.017489753109925642,8.691499522445081,8.632107787166019,0.06154264088851606
lincoln square east-upper east side south,23,78,317,0.003913607613672741,0.0073336663172571806,1.8624641833810889,3.619547841973053,0.06154264088851606
upper east side north-midtown east,0,5,20,0.0002508722829277398,0.00046269188121496406,0.11970313622216902,0.2337267734018932,0.07065708082869991
upper east side north-midtown east,1,5,7,0.0002508722829277398,0.00016194215842523744,0.11970313622216902,0.08180437069066263,0.07065708082869991
upper east side north-midtown east,2,1,3,5.017445658554795e-05,6.940378218224462e-05,0.023940627244433802,0.03505901601028398,0.07065708082869991
upper east side north-midtown east,3,2,4,0.0001003489131710959,9.253837624299282e-05,0.047881254488867604,0.04674535468037864,0.07065708082869991
upper east side north-midtown east,4,1,13,5.017445658554795e-05,0.0003007497227897267,0.023940627244433802,0.15192240271123056,0.07065708082869991
upper east side north-midtown east,5,14,40,0.0007024423921976713,0.0009253837624299281,0.33516878142207324,0.4674535468037864,0.07065708082869991
upper east side north-midtown east,6,135,255,0.0067735516390489735,0.0058993214854907924,3.2319846779985637,2.980016360874138,0.07065708082869991
upper east side north-midtown east,7,357,775,0.017912281001040618,0.01792931039707986,8.546803926262868,9.056912469323361,0.07065708082869991
upper east side north-midtown east,8,473,1126,0.02373251796496418,0.026049552912402477,11.32391668661719,13.158817342526586,0.07065708082869991
upper east side north-midtown east,9,477,838,0.023933215791306372,0.019386789822906994,11.419679195594924,9.793151805539324,0.07065708082869991
upper east side north-midtown east,10,418,608,0.020972922852759042,0.01406583318893491,10.00718218817333,7.105293911417553,0.07065708082869991
upper east side north-midtown east,11,296,633,0.014851639149322193,0.014644198040453615,7.086425664352405,7.397452378169919,0.07065708082869991
upper east side north-midtown east,12,251,547,0.012593788602972535,0.01265462295122927,6.009097438352884,6.392427252541778,0.07065708082869991
upper east side north-midtown east,13,263,467,0.01319588208199911,0.010803855426369411,6.296384965286091,5.457520158934206,0.07065708082869991
upper east side north-midtown east,14,238,469,0.011941520667360412,0.010850124614490909,5.697869284175246,5.480892836274395,0.07065708082869991
upper east side north-midtown east,15,244,509,0.0122425674068737,0.011775508376920837,5.841513047641849,5.9483463830781815,0.07065708082869991
upper east side north-midtown east,16,177,448,0.008880878815641986,0.010364298139215196,4.237491022264783,5.235479724202408,0.07065708082869991
upper east side north-midtown east,17,191,444,0.009583321207839657,0.010271759762972203,4.572659803686856,5.188734369522028,0.07065708082869991
upper east side north-midtown east,18,205,428,0.010285763600037329,0.00990160625800023,4.90782858510893,5.0017529508005145,0.07065708082869991
upper east side north-midtown east,19,138,247,0.006924075008805617,0.005714244733004806,3.303806559731865,2.886525651513381,0.07065708082869991
upper east side north-midtown east,20,119,227,0.005970760333680206,0.005251552851789842,2.848934642087623,2.6527988781114877,0.07065708082869991
upper east side north-midtown east,21,103,220,0.005167969028311439,0.005089610693364605,2.4658846061766817,2.570994507420825,0.07065708082869991
upper east side north-midtown east,22,45,151,0.002257850546349658,0.0034933237031729786,1.0773282259995212,1.7646371391842934,0.07065708082869991
upper east side north-midtown east,23,19,78,0.000953314675125411,0.0018044983367383602,0.4548719176442423,0.9115344162673834,0.07065708082869991
upper east side north-upper west side north,0,18,38,0.000903140218539863,0.0008791145743084318,0.4313443565780014,0.45755568934376883,0.06371783402172708
upper east side north-upper west side north,1,4,11,0.0002006978263421918,0.0002544805346682303,0.0958543014617781,0.13245033112582782,0.06371783402172708
upper east side north-upper west side north,2,3,3,0.00015052336975664385,6.940378218224462e-05,0.07189072609633358,0.03612281757977122,0.06371783402172708
upper east side north-upper west side north,3,2,3,0.0001003489131710959,6.940378218224462e-05,0.04792715073088905,0.03612281757977122,0.06371783402172708
upper east side north-upper west side north,4,2,7,0.0001003489131710959,0.00016194215842523744,0.04792715073088905,0.08428657435279951,0.06371783402172708
upper east side north-upper west side north,5,10,18,0.0005017445658554796,0.0004164226930934677,0.23963575365444525,0.21673690547862734,0.06371783402172708
upper east side north-upper west side north,6,16,84,0.0008027913053687672,0.001943305901102849,0.3834172058471124,1.0114388922335942,0.06371783402172708
upper east side north-upper west side north,7,181,261,0.009081576641984179,0.006038129049855281,4.337407141145459,3.142685129440096,0.06371783402172708
upper east side north-upper west side north,8,208,383,0.010436286969793974,0.008860549525266563,4.984423676012461,4.61167971101746,0.06371783402172708
upper east side north-upper west side north,9,157,392,0.007877389683931028,0.009068760871813297,3.76228133237479,4.720048163756773,0.06371783402172708
upper east side north-upper west side north,10,213,365,0.010687159252721713,0.008444126832173096,5.104241552839683,4.3949428055388315,0.06371783402172708
upper east side north-upper west side north,11,170,485,0.00852965761954315,0.011220278119462879,4.073807812125569,5.839855508729681,0.06371783402172708
upper east side north-upper west side north,12,230,564,0.011540125014676028,0.013047911050261988,5.511622334052241,6.79108970499699,0.06371783402172708
upper east side north-upper west side north,13,240,497,0.012041869580531508,0.011497893248191858,5.7512580877066855,5.984346779048765,0.06371783402172708
upper east side north-upper west side north,14,353,647,0.017711583174698425,0.01496808235730409,8.459142104001916,7.7904876580373275,0.06371783402172708
upper east side north-upper west side north,15,375,712,0.01881542121958048,0.016471830971252724,8.986340762041696,8.573148705599037,0.06371783402172708
upper east side north-upper west side north,16,374,664,0.018765246762994934,0.015361370456336808,8.962377186676253,7.9951836243226975,0.06371783402172708
upper east side north-upper west side north,17,367,745,0.018414025566896097,0.017235272575257414,8.794632159118141,8.97049969897652,0.06371783402172708
upper east side north-upper west side north,18,346,634,0.01736036197859959,0.014667332634514361,8.291397076443806,7.6339554485249845,0.06371783402172708
upper east side north-upper west side north,19,257,511,0.012894835342485825,0.011821777565042333,6.158638868919242,6.152919927754365,0.06371783402172708
upper east side north-upper west side north,20,223,466,0.011188903818577192,0.010780720832308664,5.343877306494129,5.611077664057797,0.06371783402172708
upper east side north-upper west side north,21,244,372,0.0122425674068737,0.008606068990598332,5.847112389168465,4.479229379891632,0.06371783402172708
upper east side north-upper west side north,22,126,304,0.006321981529779041,0.007032916594467455,3.01941049604601,3.6604455147501507,0.06371783402172708
upper east side north-upper west side north,23,54,139,0.002709420655619589,0.003215708574444001,1.2940330697340043,1.6736905478627333,0.06371783402172708
upper east side south-lenox hill west,0,36,89,0.001806280437079726,0.0020589788714065905,0.8633093525179856,0.9765196401141102,0.06313769261088824
upper east side south-lenox hill west,1,12,32,0.0006020934790265754,0.0007403070099439425,0.28776978417266186,0.3511081852095677,0.06313769261088824
upper east side south-lenox hill west,2,7,16,0.00035122119609883566,0.00037015350497197127,0.16786570743405274,0.17555409260478386,0.06313769261088824
upper east side south-lenox hill west,3,0,10,0.0,0.00023134594060748203,0.0,0.10972130787798992,0.06313769261088824
